45733,04OG,heliport,Teufel Heliport,US,US-OR,Forest Grove,04OG,04OG
6786,04OH,small_airport,Bossow Airport,US,US-OH,Garrettsville,04OH,04OH
6787,04OK,heliport,Stillwater Medical Center Heliport,US,US-OK,Stillwater,04OK,04OK
6788,04OR,small_airport,Collins Landing Strip,US,US-OR,Mitchell,04OR,04OR
6789,04PA,heliport,S & C Distribution Center Heliport,US,US-PA,Philadelphia,04PA,04PA
6790,04PN,heliport,Strawbridge & Clothier Exton Heliport,US,US-PA,Exton,04PN,04PN
6791,04SC,heliport,Emergency Helipad,US,US-SC,Easley,04SC,04SC
6792,04TA,heliport,Capitol National Bank Building Heliport,US,US-TX,Austin,04TA,04TA
6793,04TE,heliport,Veterans Affairs Medical Center Heliport,US,US-TX,Houston,04TE,04TE
6794,04TN,small_airport,Hensley Airpark,US,US-TN,Chuckey,04TN,04TN
6795,04TS,heliport,Hummingbird Heliport,US,US-TX,Hutto,04TS,04TS
6796,04TX,small_airport,Pocock Airport,US,US-TX,China Spring,04TX,04TX
6797,04UT,small_airport,Navajo Mountain Airport,US,US-UT,Navajo Mountain Trdng Post,04UT,04UT
6798,04V,small_airport,Saguache Municipal Airport,US,US-CO,Saguache,04V,04V
6799,04VA,heliport,Russell County Medical Center Heliport,US,US-VA,Lebanon,04VA,04VA
6800,04VG,small_airport,Manquin Flight Park Ultralightport,US,US-VA,Manquin,04VG,04VG
6801,04VT,small_airport,Lightning Bolt Field Airport,US,US-VT,Cabot,04VT,04VT
6802,04W,small_airport,Field of Dreams Airport,US,US-MN,Hinckley,04W,04W
6803,04WA,small_airport,Ox Meadows Airport,US,US-WA,Spokane,04WA,04WA
6804,04WI,small_airport,Dutch Gap Airstrip,US,US-WI,Bristol,04WI,04WI
45903,04WN,small_airport,Stillwater Creek Airport,US,US-WA,Royal City,04WN,04WN
6805,04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,US-WV,Morgantown,04WV,04WV
6806,04XS,heliport,Napiers Heliport,US,US-TX,Mansfield,04XS,04XS
6807,05AK,small_airport,Wasilla Creek Airpark,US,US-AK,Palmer,05AK,05AK
6808,05AL,heliport,Allen Stagefield Army Heliport,US,US-AL,Fort Rucker/Wicksburg,05AL,05AL
45302,05AR,small_airport,Ozark Skies Airpark,US,US-AR,Kingston,05AR,05AR
6809,05AZ,heliport,Yuma Regional Medical Center Heliport,US,US-AZ,Yuma,05AZ,05AZ
6810,05B,seaplane_base,Van Buren Seaplane Base,US,US-ME,Van Buren,05B,05B
6811,05CA,heliport,Lost Hills Sheriff's Station Heliport,US,US-CA,Calabasas,05CA,05CA
6812,05CL,small_airport,Pope Valley Airport,US,US-CA,Pope Valley,05CL,05CL
6813,05CO,small_airport,Rancho De Aereo Airport,US,US-CO,Mead,05CO,05CO
6814,05CT,heliport,O And G Heliport,US,US-CT,Torrington,05CT,05CT
6815,05FA,small_airport,Melanie's Airport,US,US-FL,Florala,05FA,05FA
6816,05FD,heliport,Aventura Heliport,US,US-FL,North Miami Beach,05FD,05FD
6817,05FL,small_airport,Charlton Strip,US,US-FL,La Belle,05FL,05FL
6818,05GA,small_airport,Raju Airport,US,US-GA,Richland,05GA,05GA
